,text,latitude,longitude,categoriaRotulo,Bairro
25,"@intensefly não me roubaram, eu tava no carro e assaltaram um cara na rua",-23.5971244,-46.5179637,Assalto,SAPOPEMBA
26,"Credo , quase me roubaram",-23.65803208,-46.6108272,Roubo,SACOMA
27,"Roubaram meu bebe,o chokito,poodle branco,+ ou - na regiao do campo limpo!se o virem, me avisem pfv! tem recompensa! http://t.co/n6wu8wtyqy",-23.6166479,-46.73716729,Roubo,VILA SONIA
28,"@biacaleffi eu vou lá amanhã bia!! 18:15!! vamoss, adivinha aonde me roubaram? hahaha",-23.45143936,-46.58685713,Roubo,TREMEMBE
29,@shippotuliam me roubaram,-23.6879296,-46.6471442,Roubo,CIDADE ADEMAR
30,"Mano, roubaram minha melhor amg hoje de manhã. quando ela me ligou chorando eu fiquei tão preocupada, quase fugi da escola e fui lá",-23.60610423,-46.52320076,Roubo,SAO LUCAS
31,Caralho mal cheguei em casa e me falam q roubaram a loja inteira da minha mãe pqp tadinha ela deve ta mó mal 😤,-23.48709053,-46.61165044,Roubo,TUCURUVI
32,"Me roubaram hoje, que raiva",-23.53530477,-46.59259957,Roubo,BELEM
33,"@harrystrupavel  nao, me roubaram :(",-23.5372761,-46.4298918,Roubo,JOSE BONIFACIO
34,Quase me roubaram 😡😤,-23.5019961,-46.52630084,Roubo,CANGAIBA
35,Quais me roubaram hoje :'(,-23.5086315,-46.7565286,Roubo,JAGUARA
36,"Roubaram a bolsa da minha mãe e eu que me fodo!!!!! agora a gente tem q dividir o carregador, eu n tenho mais rímel.. ta bacana a vida!",-23.6644829,-46.6631582,Roubo,CIDADE ADEMAR
37,Me roubaram &lt;//3,-23.7357425,-46.7072314,Roubo,CIDADE DUTRA
38,"@rafa_77 ninguem me furtou, roubaram no carro mesmo, pior merda de todas. minha mochila tava no porta malas e ja era com 500 conto no sodexo",-23.54173959,-46.65184133,Roubo,CONSOLACAO
39,Nossa quase esqueci de falar quase me roubaram hoje :c,-23.55267337,-46.52549489,Roubo,CARRAO
40,Parece que aquela mala que me roubaram estavam todas as minhas roupas,-23.60528228,-46.6336659,Roubo,SAUDE
41,@biiapires me roubaram no sabado.. kkkkkkkk,-23.54102074,-46.58515013,Roubo,BELEM
42,"@__lariiis amiga, me manda o número da sua casa ou se vc estiver com algum outro cel ... nao acredito ainda q te roubaram =\",-23.51714814,-46.50830348,Roubo,PONTE RASA
43,"Mano! roubaram um livro da loja. agora me diz, quem entra na chilli beans pra roubar um livro ?",-23.5729364,-46.6963282,Roubo,PINHEIROS
44,Me roubaram tb &lt;/3,-23.6351807,-46.7613385,Roubo,CAMPO LIMPO
45,@laari15_zika tinha mais um monte .. mais me roubaram kkkkk .. agora só tem o cachorro pqe n tem como roubar shuhahu,-23.4555698,-46.6763634,Roubo,BRASILANDIA
46,"Ooow tefa, me passa teu cel, perdi qdo roubaram..",-23.4447294,-46.7265322,Roubo,JARAGUA
47,"@_sbatista verdade &lt;/3 a mãe me ligou agr a pouco e disse q os nóinha roubaram os cabos do tel/net de novo, ai fffffufu -.-",-23.52453243,-46.66673048,Roubo,BARRA FUNDA
48,"@jaquesugai sim sim, depois que me roubaram comprei o iphone, mas estou um pouco arrependida.",-23.57305055,-46.70311784,Roubo,MORUMBI
49,"Um dia eu perco no outro eu ganho em dobro,doce amada vida, q reclamo de boca cheia, aqueles 300 reais q me roubaram. hoje ganhei em dobro..",-23.51597732,-46.70203685,Roubo,LAPA
50,@vangarti pelo menos seu natal n foi igual o meu ): me assaltaram levaram meu iphone,-23.53866654,-46.64831412,Assalto,SANTA CECILIA
51,"@ricardorathsam @braungustavo e no mesmo dia, na volta do teatro, me assaltaram e levaram tudo. menos o perfume.",-23.53142126,-46.69694848,Assalto,LAPA
52,@porrarobsten não. me assaltaram nessa quarta. levaram tudo :((,-23.5609102,-46.6340312,Assalto,LIBERDADE
53,Me assaltaram hoje mano,-23.510807,-46.7301656,Assalto,JAGUARA
54,"Caralho, assaltaram a aline :s, me mandou msg pelo face pra min ficar atento .",-23.4340395,-46.789229,Assalto,ANHANGUERA
55,Me assaltaram mano ):,-23.54312564,-46.63232323,Assalto,SE
56,"@joel_fagundes mais só assaltaram o cobrador, mais o medo me fez treemer um poouco ;(",-23.5452122,-46.4209229,Assalto,GUAIANASES
57,Me assaltaram hoje,-23.6467052,-46.7040466,Assalto,SANTO AMARO
58,A equipe do dr. palumbo prende 08 bandidos envolvidos no roubo de carros na zona norte de são paulo. em zona norte - são paulo https://t.co/nipifm4xza,-23.46833446,-46.66518662,Roubo,CACHOEIRINHA
59,"Aconteceu hoje
assalto a carro-forte em supermercado da raposo tavares tem troca de tiros e deixa um suspeito morto

roubo, com 20 homens armados de fuzis, ocorreu em supermercado na… https://t.co/sbmgfsrugh",-23.55,-46.6333,Roubo,SE
60,"Aconteceu hoje
assalto a carro-forte em supermercado da raposo tavares tem troca de tiros e deixa um suspeito morto

roubo, com 20 homens armados de fuzis, ocorreu em supermercado na… https://t.co/4q0sqjxpop",-23.55,-46.6333,Assalto,SE
61,"Oq me restou depois do roubo. 😑dear rua augusta, hating your guts even more @ beco 203 - são paulo https://t.co/9o1fxospg4",-23.5518303,-46.6518211,Roubo,CONSOLACAO
62,Ai que roubo descarado,-23.7988074,-46.7362283,Roubo,PARELHEIROS
63,Roubo do carai,-23.63227082,-46.68041519,Assalto,CAMPO BELO
64,"@1bblla @danihuli assaltaram a gnt do jeito mais animal possível, tipo o cara espanco a dani enquanto o outro me ameaçava c uma arma... osso",-23.53440761,-46.65627735,Assalto,SANTA CECILIA
65,@ulyssesbravoo não tinha visto não!!!me diga como vc agiu quando te assaltaram??? se sentiu revoltado??? pois é foi a mesma coisa!,-23.68702475,-46.70340649,Assalto,SOCORRO
66,@souchatabjs me assaltaram.,-23.55679367,-46.63438546,Assalto,LIBERDADE
67,"Espero que os caras q me assaltaram ontem, pelo menos leiam os livros novos q estavam na sacola q levaram :(",-23.5122471,-46.5887338,Assalto,VILA MARIA
68,@gaa_rocha me assaltaram perto do morumbi ontem mano :/,-23.6506094,-46.6718986,Assalto,CIDADE ADEMAR
69,"Pela noite uma concessionária em sorocaba foi tomada de roubo..o vigia ficou refém  e foi liberado a cerca de vinte minutos apóso roubo  em campinas. foram levados 11 veículos novos sem placas, sendo 9 toyota hilux e… https://t.co/94mnkusgla",-23.55,-46.6333,Roubo,SE
70,"Bom dia amigos, clientes e advogados: a polícia federal, deic e outras fontes de justiça: precisam das provas do roubo do metal precioso no terminal: as provas já existem / então não as querem????? em são paulo, brazil https://t.co/csxbbdnxu1",-23.55,-46.6333,Roubo,SE
71,"Após roubo á mão armada, ladrões fogem para o mato e acabam atacados por marimbondos. o brasil… https://t.co/ray1cm9z7b",-23.55,-46.6333,Roubo,SE
72,@orenatosouza um roubo!,-23.5886569,-46.7200103,Roubo,MORUMBI
73,"Tomara que a pessoa que roubo o óculos fique cega, não é a empresa que paga são os funcionários fdp 😠",-23.67802385,-46.69779304,Roubo,CAMPO GRANDE
74,"Isso é um roubo, e nem era são lourenço, é cristal, muito roubo na cara larga! https://t.co/2jgww7hmqo",-23.7028024,-46.6403334,Roubo,PEDREIRA
75,@gustavozupak não.  a mídia tem que falar muito amanhã do roubo que foi .,-23.5905858,-46.4796284,Roubo,SAO MATEUS
76,Roubo de carro,-23.63836689,-46.64018528,Roubo,JABAQUARA
77,Tem que fazer b.o ... que roubo vai tomar no cu,-23.49558537,-46.5022007,Roubo,CANGAIBA
78,Fui rouba a doceira hj pra @_pfvrje quase fui preso u.u,-23.5082996,-46.4366674,Roubo,SAO MIGUEL
79,Vai passando março abril vai chegando daqui a pouco é outono e eu só penso na jaqueta de couro que me roubaram na balada,-23.4988014,-46.4605299,Roubo,VILA JACUI
80,Mãe não é culpa minha se me roubaram! agora chega tô  ficando depre já :( só queria meu iphone de volta,-23.5017964,-46.4075005,Roubo,VILA CURUCA
81,"Minha pressão caiu e tudo, fiquei muito mal mas graças a deus não fizeram nada comigo e também não me roubaram!!!",-23.49294825,-46.72629387,Outros,PIRITUBA
82,@wylmites me roubaram ante ontem lu ):,-23.6089569,-46.6619406,Roubo,MOEMA
83,"Minha irmã me falando que roubaram a escola de madrugada e roubaram os fios, que situação",-23.64726017,-46.73674979,Roubo,JARDIM SAO LUIS
84,"Graças a deus eu corri e n me roubaram, mais mano q peso na consciência",-23.5209854,-46.4927808,Roubo,PONTE RASA
85,"A glr do bairro aqui ta fazendo barricada.. olha o local que minha mãe escolhe p morar vei!! quase botaram fogo e me roubaram no bus, ódio!",-23.57238224,-46.51727221,Roubo,ARICANDUVA
86,@guiimarques16 me roubaram.. aí to com o 5c agora!,-23.55466199,-46.68099828,Roubo,PINHEIROS
87,Os cara roubaram minha roupa e me deixaram uns 30 de cueca kkkkkkkkkkkkkkkkklkk bando de fdp &lt;3,-23.49739609,-46.61622207,Roubo,SANTANA
88,Gente eu vou morrer meu pai falou q eu nunca mais vou em show nenhum pq na bt roubaram meu iphone e ele não quer deixa aaaah alguem me salva,-23.54309093,-46.53432197,Roubo,CARRAO
89,Acho que vou comprar outro ipod. porque me roubaram né.  ai fica ruim,-23.4389398,-46.7495842,Roubo,JARAGUA
90,"@complexabel bel eu sai do banco e me roubaram alguns metros a frente. to levando numa boa porque podia ter sido pior, mas é foda né :(",-23.52043418,-46.699653,Roubo,LAPA
91,Mas não me roubaram =). minha boca ta inchando mas nao levaram nada,-23.56287643,-46.63309951,Outros,LIBERDADE
92,Uma vez fui dar um presente no ask pra @mandy_charmosa e ekes me roubaram ;@ só fizeram comer meu créditos u.u,-23.7500204,-46.7088318,Roubo,CIDADE DUTRA
93,Roubaram o notebook de um advogado aqui no banco que estava dentro de uma gaveta trancada. me sinto muito segura agora.,-23.547643,-46.6377076,Roubo,SE
94,"@_gefacincani naaao, me roubaram faz um tempinho :( que sacoooo haha",-23.5411702,-46.56589587,Roubo,TATUAPE
95,"Ontem me roubaram 300 reais hoje com uma simples ligação da minha mãe ganhei em dobro, deus é muito bom comigo viu.. to bem melhor hoje!",-23.51597732,-46.70203685,Roubo,LAPA
96,"Se eu que só me assaltaram sem me bater, já fiquei em estado de choque e medo de sair na rua, imagine ele",-23.58968114,-46.51489932,Assalto,SAPOPEMBA
97,"Fui visitar três bibliotecas. uma tava parcialmente fechada, outra fui embora porque quase me assaltaram duas vezes e a terceira ta fechada",-23.56214725,-46.72179547,Assalto,BUTANTA
98,"Meu to traumatizada , me assaltaram ontem na esquina da minha casa mas nao levaram nada porque sai correndo :/",-23.6467919,-46.701671,Assalto,SANTO AMARO
99,"E ontem eu tava me arrumando no salão os cara assaltaram lá slc entrei em choque, graças a deus n aconteceu nada",-23.56302787,-46.50653495,Assalto,CIDADE LIDER
100,Dps que quase me assaltaram eu to na noia c essas coisas,-23.7304137,-46.6959248,Assalto,CIDADE DUTRA
101,Nao acredito que me assaltaram,-23.53524793,-46.59266643,Assalto,BELEM
102,Me assaltaram hoje. tudo que o indivíduo levou foi meu cachorro quente.,-23.4484653,-46.7207089,Assalto,JARAGUA
103,@massa_ng que me assaltaram agora a pouco (:,-23.52919316,-46.45790708,Assalto,ITAQUERA
104,Video roubo de moto na rua são bernardo tatuapé @gazetadotatuape @tatuapebairro @vivatatuape @revista_do_tatuape em radio tatuape fm https://t.co/ca7rzskcha,-23.5532499,-46.57547,Roubo,AGUA RASA
105,Em patrulhamento de rocam pela avenida kennedy visualizamos a motocicleta exk 7521 produto de roubo recente  ocupada por dois indivíduos que ao visualizar a equipe começou a ser acompanhada por diversas ruas do… https://t.co/gtwmxqj4vl,-23.5662924,-46.6542659,Roubo,JARDIM PAULISTA
106,"Preso homem envolvido em saidinha de banco

policiais do deic (departamento estadual de investigações criminais) prenderam israel nogueira filho. ele faz parte de uma quadrilha envolvida em roubo contra clientes de… https://t.co/y8yssgnnfh",-23.55,-46.6333,Roubo,SE
107,"@axexeo por favor ajude a divulgar um crime que está acontecendo em são roque-sp,  matando caes sem piedade instituto royal",-23.4751247,-46.6489999,Outros,MANDAQUI
108,"@biancagomez00 roubaram a bolsa dela, só ñ roubaram nda de mim, pq eu estava sem nda, mas me revistaram man",-23.46021,-46.69995333,Roubo,BRASILANDIA
109,@bibibiagaspar me roubaram do museu só pode.,-23.4955624,-46.7069135,Roubo,FREGUESIA DO O
110,Me roubaram 1 hora.,-23.53403167,-46.468285,Roubo,ITAQUERA
111,"@nathpedretti iphone é tudo. eu ganhei no final de 2013, ai me roubaram em julho do ano passado e ganhei outro em seguida. não vivo sem.",-23.64563924,-46.75687366,Roubo,CAMPO LIMPO
112,Ai me roubaram ne (um favor que me fizeram) ai minha mãe me deu um iphone 🙌 subi na vida,-23.55553366,-46.55266718,Roubo,CARRAO
113,Nossa ontem peguei chocolate da cacau show mo amigo ladrão e me roubaram afs xatiada,-23.5526427,-46.439795,Roubo,JOSE BONIFACIO
114,"Ow vai se fude, me roubaram, só pode",-23.54465401,-46.56741926,Roubo,TATUAPE
115,Domingo vou ter que ir la na jovem fazer a carteirinha da federação dnv que me roubaram ela.,-23.6417224,-46.6459363,Roubo,JABAQUARA
116,Nunca me esqueço do dia q começaram a me arrastar pela quadra e ainda para variar roubaram meu tenis,-23.495517,-46.6487535,Roubo,CASA VERDE
117,Ah mano roubaram meu cartao mano me fodi,-23.5375177,-46.4302266,Roubo,JOSE BONIFACIO
118,Não consigo me conformar que roubaram minha carteira 😭,-23.53608083,-46.73586855,Roubo,VILA LEOPOLDINA
119,"Hoje lembrei do dia que roubaram meu iphone, sabe pq me roubaram? eveja!",-23.5505138,-46.5652801,Roubo,TATUAPE
120,"Meu pai ta me perturbando porque roubaram o carro dele, fica descontando em mim. moscao",-23.4755286,-46.7003171,Roubo,FREGUESIA DO O
121,"@nanochr_ ele deu risada quando me roubaram fi, se deu mal kkkkkkk zuera",-23.47408147,-46.70093901,Roubo,FREGUESIA DO O
122,Caraca me roubaram hardcore no treino hoje,-23.6182481,-46.754848,Roubo,CAMPO LIMPO
123,"@miaalien eu tinha o iphone 5, mas me roubaram :(",-23.62001696,-46.66526935,Roubo,CAMPO BELO
124,"@1doniall mds, eu tinha um, ai roubaram num passeio escolar, minha mãe me deu o dela, ai o touch quebro, me deram outro, outra merda+",-23.45114792,-46.68381854,Roubo,BRASILANDIA
125,Man me roubaram,-23.4653879,-46.6892956,Roubo,BRASILANDIA
126,"@souchatabjs to relaxado, so me roubaram 7 mil reais.",-23.55678104,-46.63423017,Roubo,LIBERDADE
127,"Hoje meu dia foi engraçado, menos a parte q me roubaram :(",-23.4731711,-46.7489619,Roubo,PIRITUBA
128,@seilagabs @kahpaixao_ a gente tomo refri meu kkkk e quase me roubaram hushs,-23.5557168,-46.5929146,Roubo,MOOCA
129,Os caras que me roubaram podiam ter deixado o piercing né? desnecessário levar o coitado :(,-23.65246594,-46.76594873,Roubo,CAMPO LIMPO
130,"@_leticiamarques to sem grana, me roubaram",-23.6612326,-46.6857044,Roubo,CAMPO GRANDE
131,"@peitosilove já me assaltaram no tatuapé, caso queria saber hahahaha. passo bem de vez em quando na zl hehe",-23.3885513,-46.5685321,Assalto,TREMEMBE
132,Não estou entendendo esse roubo de rodas de carro em ferraz,-23.4889035,-46.4669591,Roubo,VILA JACUI
133,@leleig_ hoje é dia ein! me assaltaram na esquina de casa 😭,-23.67598467,-46.68070823,Assalto,CAMPO GRANDE
134,Fdp só me assaltaram pq estavam em 4 e pq tava tudo armado aquelas porra .-.,-23.4966352,-46.4001283,Assalto,ITAIM PAULISTA
135,Me assaltaram bem dizendo,-23.57808068,-46.63644589,Assalto,VILA MARIANA
136,Acho que me assaltaram lsndls,-23.51918792,-46.53682027,Assalto,PENHA
137,Syas amigas crackudas me assaltaram @apenaxxfofa que ódio,-23.5863847,-46.6532623,Assalto,MOEMA
138,@richardfietz lembra q me assaltaram? agr ganhei cel novo e perdi tds os contatos. fiquei 1 cara aqui pedindo n de td mundo e vc n disse nd,-23.65934816,-46.63536069,Assalto,JABAQUARA
139,"Tipo legal, os caras que me assaltaram moram na rua de trás do futtura",-23.66902767,-46.67549049,Assalto,CAMPO GRANDE
140,Quando me assaltaram foi tipo isso kkkkkkk,-23.53135627,-46.5048821,Assalto,VILA MATILDE
141,"@nick_demmy me assaltaram, levaram a grana mano",-23.6648005,-46.6771336,Assalto,CIDADE ADEMAR
142,"O cabo agenor do 4°bpm/m, foi baleado na data de hoje, quando sua equipe foi atender uma ocorrência de roubo a banco na região da lapa.

fez a cirurgia e foi um sucesso, ele não corre… https://t.co/x8ocagvw5n",-23.52393,-46.7323,Roubo,VILA LEOPOLDINA
143,"Final de ano aumenta o número de roubo à residências. muitas famílias viajando. você sabia? 
que mesmo de longe, pode vigiar sua casa, seu escritório e gastando pouco! sendo assim, não deixe sua casa desprotegida… https://t.co/qz28kole4s",-23.55,-46.6333,Outros,SE
144,"Gcm sp👮🚔 
ladrão é preso em flagrante por gcms após praticar roubo.

pela rua avanhandava esquina com a av. nove de julho, bela vista,  às 21:50 horas desse domingo 17/11/2019, um ladrão que subtraiu um aparelho… https://t.co/6uvvnpoa2x",-23.55,-46.6333,Roubo,SE
145,"Policia de são paulo detém indivíduo por roubo de veículo*

policiais do *12º bpm/m - 1ª cia - 3º pel* da viatura *m-12002* com o apoio* da viatura  m-12123 em operação contra roubos de veículos pelo jd. aeroporto,… https://t.co/1chbodpuxq",-23.55,-46.6333,Roubo,SE
146,"Após roubo á mão armada, ladrões fogem para o mato e acabam atacados por marimbondos.
"" o brasil… https://t.co/nuae9wkrtc",-23.55,-46.6333,Roubo,SE
147,"Para variar mais um roubo.... em são paulo, brazil https://t.co/zw2imrc66a",-23.55,-46.6333,Roubo,SE
148,Qm q roubo o bar do duda?,-23.56930915,-46.56656357,Roubo,AGUA RASA
149,"Teve um roubo aqui no sacolão, slcccc",-23.4827809,-46.7173466,Roubo,PIRITUBA
150,Houve um roubo hj em londrina!com a palavra a língua amiga santista @miltonneves .,-23.52392639,-46.52956688,Roubo,PENHA
151,"@nouishots me falaram que no morumbi tem muito roubo e tal, consegui sair de la sem ser assaltada e nem vi ninguem sendo assaltado",-23.6016063,-46.5908392,Outros,IPIRANGA
152,"Ele foi a menor pessoa já detida? seria recorde? ""@g1: menor suspeito de roubo é detido com arma em formato de caneta http://t.co/uwbcrecaum",-23.4860706,-46.6051446,Roubo,TUCURUVI
153,Que roubo manooo,-23.58442579,-46.5596174,Roubo,SAO LUCAS
154,@weedmenn mt roubo parca,-23.6575567,-46.6795089,Roubo,CIDADE ADEMAR
155,Roubo da porra 👎,-23.6945458,-46.7875283,Roubo,JARDIM ANGELA
156,Ainda estou traumatizada pelo roubo 😥😥,-23.4486156,-46.6248249,Roubo,TREMEMBE
157,Isso é roubo,-23.494179,-46.4726553,Roubo,ERMELINO MATARAZZO
158,Hoje roubo lanche de alguem no intervalo 😽,-23.471908,-46.7032766,Furto,FREGUESIA DO O
159,Debate “@custodiodias: depois do roubo no pacaembu quero tentar rir um pouco para distrair. dúvida: pânico ou debate?”,-23.63301994,-46.7382362,Roubo,VILA ANDRADE
160,"Acabei de escapar de um roubo no centro. e a cidade ta segura, né? manipulação de dados estatísticos da ssp pela pig",-23.5409734,-46.6606549,Roubo,CONSOLACAO
161,@profapatricia @lik001 soube que no roubo,-23.5711582,-46.6445788,Roubo,BELA VISTA
162,"Vou resumir a fbm em algumas palavras: queixo, escuro, trevas, djc, bota, ridícula, roubo, e sigilo",-23.48285684,-46.69847734,Outros,FREGUESIA DO O
163,"@mirandasa_ 

bom dia! 

mas o roubo está a todo vapor! vergonha!",-23.54514135,-46.75413704,Roubo,JAGUARE
164,Q roubo,-23.4494067,-46.5721649,Roubo,JACANA
165,"Mano to no busao e tlgado aqueles cara q vende bala, então a mina aqui roubo duas bola na cara dura e ele nem percebeu ! slco",-23.5576282,-46.5240303,Roubo,CARRAO
166,@minadocapitao eu to é morto com esse roubo,-23.563175,-46.4063942,Roubo,GUAIANASES
167,"@_piercetheanna roubo tudo tiozao, vende sua alma pra mim ?",-23.5462351,-46.3963399,Roubo,LAJEADO
168,@minnieway eu roubo suaudhahhaua putsputsputs,-23.477885,-46.6255538,Roubo,MANDAQUI
169,@magdasep um roubo!,-23.48334001,-46.69622103,Roubo,FREGUESIA DO O
170,Que roubo para,-23.59463674,-46.50546788,Roubo,SAPOPEMBA
171,Que roubo cara que roubo,-23.4682119,-46.6633843,Roubo,CACHOEIRINHA
172,Ta na cara que isso foi roubo,-23.6355033,-46.4720723,Roubo,SAO RAFAEL
173,"N consigo parar de pensar nisso do roubo mano, pq só acontece cmg essas coisas? ai, desanimo",-23.50651791,-46.60113762,Roubo,VILA GUILHERME
174,"Nossa acabei de ver uma reportagem p acaba com o dia de qualquer um.
o pai e a mãe vendo o filho de 19 anos sendo preso porque roubo cel 😢",-23.522395,-46.4373699,Roubo,SAO MIGUEL
175,Eita tem rua q ta agitada  3 carros de policia .  3 manos tomando enquadro   . possível roubo de  caminhão . e butecos lotados,-23.5373876,-46.5945665,Roubo,BELEM
176,"Roubo do caralho, me poupe cu de frango",-23.5842969,-46.7888799,Roubo,RAPOSO TAVARES
177,Descobri quem é o mano que roubo a camila,-23.4615226,-46.6478229,Roubo,CACHOEIRINHA
178,@americanair 1semana e meia que reportei o roubo e nada de informacao vou ter de entrar com acao judicial ? gru nao me informa nada pelo tel,-23.54441006,-46.7356805,Roubo,VILA LEOPOLDINA
179,O mlk que roubo iphone da amanda mora lá no praça da sé,-23.6679287,-46.7440578,Roubo,JARDIM SAO LUIS
180,"Grupo estoura caixa eletrônico em iracemápolis e troca tiros com pms: após roubo, suspeitos se esconderam em c... http://t.co/hoiaec0egm""",-23.5737035,-46.6607863,Roubo,JARDIM PAULISTA
181,@ceduardoeduardo @bebrenda_ @sasa_guerra @barbosa_natt @lariani_ribeiro @gezollas roubei messssssmo. e se reclamar roubo mais,-23.5988045,-46.5455332,Roubo,SAO LUCAS
182,Depois desse roubo vou pro show.,-23.5542379,-46.6499407,Roubo,BELA VISTA
183,"Houve um roubo lá , saíram todos correndo ,",-23.7633902,-46.7117499,Roubo,GRAJAU
184,Viiishe logo roubo um carro e deixaram aqui na minha rua o.o,-23.7008813,-46.7850005,Roubo,JARDIM ANGELA
185,@beel_alves roubo meu parça,-23.53559235,-46.64822373,Roubo,SANTA CECILIA
186,Deic detém 10 suspeitos de roubo de carga em guarulhos http://t.co/f3j0e3yxyh,-23.4574229,-46.6154055,Roubo,TREMEMBE
187,Tá tendo mt roubo na rua..,-23.4602222,-46.7197453,Roubo,PIRITUBA
188,@euvinaband .... foi na av: maciel monteiro. o roubo em artur alvim,-23.5402616,-46.4811226,Roubo,ARTUR ALVIM
189,@offjapan não roubo suas frases satã,-23.47407312,-46.70078163,Outros,FREGUESIA DO O
190,Olha o roubo ai minha gente,-23.5340309,-46.7195006,Roubo,LAPA
191,"O pior que chegou a polícia e eles continuaram a levar o que havia furtado de dentro do caminhão. isso é crime, é roubo gente",-23.4800331,-46.6262142,Furto,MANDAQUI
192,"Nossa mano, meu pai roubo agora, slc :(",-23.4663559,-46.6726569,Roubo,BRASILANDIA
193,To bolado com esse carnaval af muito roubo com pode af,-23.7228217,-46.6912161,Roubo,CIDADE DUTRA
194,@zedosertaofm o filho dele sofreu uma tentativa de roubo isso é segurança publica.isso pq tem segurança e o povo.vc não sabe o que fala.,-23.5557172,-46.6751225,Roubo,JARDIM PAULISTA
195,Confirmando o índice de bairro com maior índice de roubo de carro registro aqui que a vizinha teve seu sandero roubado a pouco.,-23.6151195,-46.4783563,Roubo,SAO MATEUS
196,Alguem roubo ele so pode o.o,-23.71185275,-46.68860052,Roubo,CIDADE DUTRA
197,Uma vergonha multa e roubo em sp os cet sao progamados para multa,-23.5525442,-46.5232888,Roubo,CARRAO
198,Roubo do trem de metilamina,-23.6597347,-46.6727793,Roubo,CIDADE ADEMAR
199,Ainda estou em choque pelo roubo dos carros da minha prima e do namo dela . bando de fdp 😡,-23.56427495,-46.74795854,Roubo,RIO PEQUENO
200,Tiroteio no centro de itaquera. menores envolvidos em roubo. (@ parque linear do rio verde) [pic]: http://t.co/kckfdeenrx,-23.54296394,-46.45897701,Outros,ITAQUERA
201,Http://t.co/ea0ozflirw são paulopm que baleou rapaz filmado durante roubo de moto é condecorado em sp,-23.5595509,-46.5963121,Outros,MOOCA
